source,relation,target
NSW,has article related to,Ship
the Arbitration  Commission,has article related to,Ship
the NSW Trades,has article related to,Ship
Labour Council,has article related to,Ship
Flevoland,has article related to,Ship
Graan Elevator Mij,has article related to,Ship
Todd Shipyards Corp,has article related to,Ship
Pacific Coast  Metal Trades District Council,has article related to,Ship
Galveston Division,has article related to,Ship
the Galveston Metal Trades Council,has article related to,Ship
Seattle Division,has article related to,Ship
The Pacific Coast Council,has article related to,Ship
The Labour Council,has article related to,Ship
the Australian Council of  Trade Unions,has article related to,Ship
ACTU,has article related to,Ship
Velayati,has article related to,Ship
Kuwaiti,has article related to,Ship
Foreign Ministry,has article related to,Ship
the Foreign Ministry,has article related to,Ship
The Iranian News Agency,has article related to,Ship
IRNA,has article related to,Ship
Senate,has article related to,Ship
the Kuwait  News Agency,has article related to,Ship
KUNA,has article related to,Ship
Red Cross,has article related to,Ship
Jaffna,has article related to,Ship
State,has article related to,Ship
the  United States,has article related to,Ship
Pentagon,has article related to,Ship
the Reagan Administration,has article related to,Ship
Defense,has article related to,Ship
Sims,has article related to,Ship
Middle East Task Force,has article related to,Ship
House,has article related to,Ship
Congress,has article related to,Ship
the House Foreign Affairs Committee,has article related to,Ship
The U.S. House of Representatives,has article related to,Ship
Congress Democratic,has article related to,Ship
Rio de Janeiros,has article related to,Ship
Rio,has article related to,Ship
Evergreen  Marine Corp,has article related to,Ship
the Security and Exchange Commission,has article related to,Ship
Reuters,has article related to,Ship
Evergreen,has article related to,Ship
China Shipbuilding Corp,has article related to,Ship
Belga,has article related to,Ship
Sabena,has article related to,Ship
The New China News Agency,has article related to,Ship
The China Daily,has article related to,Ship
China State Shipbuilding,has article related to,Ship
Bi,has article related to,Ship
Smit-Tak,has article related to,Ship
Cabinet,has article related to,Ship
Gulf  Cooperation Council,has article related to,Ship
Tehran Radio,has article related to,Ship
White House,has article related to,Ship
the National Iranian Tanker Co,has article related to,Ship
the Danish International Development Agency,has article related to,Ship
DANIDA,has article related to,Ship
PENTAGON,has article related to,Ship
the U.S. Senate,has article related to,Ship
The International Telecommunications  Union,has article related to,Ship
U.S. Defense Department,has article related to,Ship
the British Broadcasting  Corporation,has article related to,Ship
Irans War Information  Headquarters,has article related to,Ship
Iranian Foreign Ministry,has article related to,Ship
no.5,has article related to,Ship
The Japan/India-Pakistan-Gulf/Japan,has article related to,Ship
United States Lines Inc,has article related to,Ship
U.S. Lines  ,has article related to,Ship
U.S. Lines,has article related to,Ship
the U.S. Federal,has article related to,Ship
U.S. Shipping,has article related to,Ship
U.S. Lines Far East,has article related to,Ship
Accu-Weather Inc,has article related to,Ship
Lloyds Shipping Intelligence,has article related to,Ship
the Ivorian Chamber of Commerce,has article related to,Ship
McLean Industries Inc,has article related to,Ship
American Transport Lines Inc,has article related to,Ship
Crowley  Maritime Corp.,has article related to,Ship
United States Lines,has article related to,Ship
American Transport,has article related to,Ship
The Baltic International Freight Futures  Exchange,has article related to,Ship
BIFFEX,has article related to,Ship
the Baltic Exchange,has article related to,Ship
the London Potato Futures Association,has article related to,Ship
the London Meat Futures  Exchange,has article related to,Ship
The London Grain Futures Market,has article related to,Ship
Recognised Investment  Exchange,has article related to,Ship
the 1986,has article related to,Ship
the Fair Trade Commission,has article related to,Ship
Transport Ministry,has article related to,Ship
the Shipbuilders Association of Japan,has article related to,Ship
The Ministry,has article related to,Ship
Commonwealth Shipping Co Plc,has article related to,Ship
BCOM.L,has article related to,Ship
Exco International Plc,has article related to,Ship
Steel Brothers Holdings Plc,has article related to,Ship
Barclays de Zoete Wedd,has article related to,Ship
459p,has article related to,Ship
Hapag Lloyd AG,has article related to,Ship
Hudong,has article related to,Ship
Hapag,has article related to,Ship
Sydney  Express,has article related to,Ship
the  Port Authority of Thailand,has article related to,Ship
The Bangkok Shipowners and Agents Association,has article related to,Ship
The St Lawrence Seaway,has article related to,Ship
The U.S. Agriculture Department,has article related to,Ship
the Department of Transportation,has article related to,Ship
DOT,has article related to,Ship
USDA,has article related to,Ship
Appropriations Agriculture Subcommittee,has article related to,Ship
USDAs Foreign Agricultural Service,has article related to,Ship
Reuters DOT,has article related to,Ship
Rotterdam/Karachi,has article related to,Ship
Chungjin/Manila,has article related to,Ship
Callao/Crotone,has article related to,Ship
Itea/Dunkirk,has article related to,Ship
The Panama Canal Commission,has article related to,Ship
PIK,has article related to,Ship
the ST Louis Merchants  Exchange,has article related to,Ship
MLA,has article related to,Ship
Alton/Granite City,has article related to,Ship
MidMississippi River,has article related to,Ship
Lacrosse/Savage,has article related to,Ship
L/H Nov  Clinton,has article related to,Ship
Hyundai,has article related to,Ship
New World,has article related to,Ship
Itaqui,has article related to,Ship
Lloyds,has article related to,Ship
the  Arbitration Commission,has article related to,Ship
Commission,has article related to,Ship
Defence,has article related to,Ship
the U.S. Navy,has article related to,Ship
The New York Times,has article related to,Ship
Navy,has article related to,Ship
U.S. Intelligence,has article related to,Ship
HY-2,has article related to,Ship
U.S. Carriers,has article related to,Ship
the  U.S.,has article related to,Ship
the New York Times,has article related to,Ship
Kuwaiti-owned,has article related to,Ship
U.S. Naval,has article related to,Ship
U.S.  Escorts,has article related to,Ship
Lloyd Brasileiro company,has article related to,Ship
Bermuda Star Line Inc,has article related to,Ship
Orley Shipping Co  Inc,has article related to,Ship
SS Liberte,has article related to,Ship
Common Brothers PLC,has article related to,Ship
Bermuda Stars,has article related to,Ship
Banstead Shipping Ltd.,has article related to,Ship
New  South Wales,has article related to,Ship
Kenya Ports Authority,has article related to,Ship
KPA,has article related to,Ship
Unimar  Seetransport,has article related to,Ship
the Kenya National Shipping,has article related to,Ship
China Shipbuilding  Corp,has article related to,Ship
CSBC,has article related to,Ship
Onomichi Dockyard  Co Ltd,has article related to,Ship
Mitsubishi Heavy  Industries Co Ltd,has article related to,Ship
Ishikawajima-Harima Heavy  Industries Co Ltd JIMA.T,has article related to,Ship
Onomichi,has article related to,Ship
Dutch Social Affairs,has article related to,Ship
FNV,has article related to,Ship
Labour,has article related to,Ship
the National  Merchant Marine Union,has article related to,Ship
the National Merchant Marine Authority,has article related to,Ship
Gazeta Mercantil  ,has article related to,Ship
the National Merchant Marine Union,has article related to,Ship
Petrobras,has article related to,Ship
the National Union of  Maritime Navigation Companies,has article related to,Ship
Labor,has article related to,Ship
Gazeta  Mercantil,has article related to,Ship
the Twin Cities,has article related to,Ship
Ill,has article related to,Ship
Army Corps,has article related to,Ship
Lock and Dam 20,has article related to,Ship
La Grange,has article related to,Ship
the World Bank,has article related to,Ship
the New China News Agency,has article related to,Ship
Herald  of Free Enterprise,has article related to,Ship
ANP,has article related to,Ship
Smit  ,has article related to,Ship
Vlissingen,has article related to,Ship
the Herald of Free Enterprise,has article related to,Ship
the  Herald of Free Enterprise,has article related to,Ship
Herald of  Free Enterprise,has article related to,Ship
Belgian Transport,has article related to,Ship
the Herald of Free  Enterprise,has article related to,Ship
Thas,has article related to,Ship
Herald of Free  Enterprise,has article related to,Ship
BBC,has article related to,Ship
Inter-Governmental International Maritime  Consultative Committee,has article related to,Ship
the Higher Labour Court,has article related to,Ship
the Rio de Janeiro Port,has article related to,Ship
International Terminals Ltd,has article related to,Ship
Hutchison  Whampoa Ltd HWHH.HK,has article related to,Ship
Japans Mitsui Engineering,has article related to,Ship
Shipbuilding Co Ltd MSET.T,has article related to,Ship
Hong Kong International Terminals,has article related to,Ship
The National Weather Service,has article related to,Ship
U.K. Insurers,has article related to,Ship
Lloyds of London,has article related to,Ship
Peninsular,has article related to,Ship
Navigation Co Plc,has article related to,Ship
Larner,has article related to,Ship
the Standard  Steamship Protection and Indemnity Association,has article related to,Ship
the Athens Convention of 1974,has article related to,Ship
Royal Insurance,has article related to,Ship
Prudential,has article related to,Ship
Djuron/EC,has article related to,Ship
Continental,has article related to,Ship
New York Grain,has article related to,Ship
Nordstrom,has article related to,Ship
Antigone,has article related to,Ship
Tilbury,has article related to,Ship
Barnstead Shipping Ltd,has article related to,Ship
Canada Star,has article related to,Ship
O  Containers Ltd.,has article related to,Ship
The New York Shipping Association,has article related to,Ship
International Longshoremens Association,has article related to,Ship
the New York  Shipping Association,has article related to,Ship
CSX Corps Sea-Land Corp,has article related to,Ship
European Ferries Plc,has article related to,Ship
Oriental Steam Navigation Co Plc,has article related to,Ship
Transport,has article related to,Ship
the Port  Workers Association,has article related to,Ship
Association,has article related to,Ship
Social Affairs,has article related to,Ship
Cos Ltd,has article related to,Ship
Lykes Bros Co.,has article related to,Ship
the  Pacific,has article related to,Ship
American President Lines,has article related to,Ship
Senate Agriculture Committee,has article related to,Ship
Rio de  Janeiro,has article related to,Ship
the Shipowners  Association,has article related to,Ship
Intelligence Service,has article related to,Ship
Welland,has article related to,Ship
Seaway,has article related to,Ship
Globo,has article related to,Ship
Fair Trade Commission,has article related to,Ship
the Shipbuilders Association,has article related to,Ship
CGRT,has article related to,Ship
The Transport Ministry,has article related to,Ship
Transport  Ministry,has article related to,Ship
A Harbour Employees Workers Union,has article related to,Ship
Globo  and Flumar,has article related to,Ship
Rosenmuller,has article related to,Ship
The Port of Singapore Authority,has article related to,Ship
PSA,has article related to,Ship
CBS,has article related to,Ship
Japan Line Ltd,has article related to,Ship
Japan Orchid,has article related to,Ship
Saffron,has article related to,Ship
Japan Line,has article related to,Ship
the Baltic International  Freight Futures Exchange,has article related to,Ship
the London Commodity  Exchange,has article related to,Ship
the Baltic  Exchange,has article related to,Ship
New  Zealands,has article related to,Ship
the Harbour Workers Union,has article related to,Ship
the Japan Ship Exporters Association,has article related to,Ship
Zeebregts,has article related to,Ship
the St Louis Merchants Exchange,has article related to,Ship
bid/140,has article related to,Ship
Ohio River,has article related to,Ship
bid/135,has article related to,Ship
Calcutta,has article related to,Ship
INSA,has article related to,Ship
The Shipping Corporation of India,has article related to,Ship
SCI,has article related to,Ship
National Union of Seafarers,has article related to,Ship
Parliament,has article related to,Ship
the Transport Ministry,has article related to,Ship
Lloyds  Register of Shipping,has article related to,Ship
Mitsubishi Heavy Industries Ltd,has article related to,Ship
Ishikawajima-Harima Heavy Industries Co Ltd,has article related to,Ship
Liberias,has article related to,Ship
Shell Canada Ltd,has article related to,Ship
Shell Canada  Products Ltd,has article related to,Ship
Socanav Inc.,has article related to,Ship
Shell,has article related to,Ship
Socanav  ,has article related to,Ship
Shell Canadian Tankers Ltd,has article related to,Ship
Socanav,has article related to,Ship
Lakeshell,has article related to,Ship
Eastern Shell,has article related to,Ship
Shell Canada,has article related to,Ship
Royal Dutch/Shell Group,has article related to,Ship
Versatile Corps,has article related to,Ship
Versatile Pacific  Shipyards Inc,has article related to,Ship
Versatiles,has article related to,Ship
The U.S. Departments of Agriculture  and,has article related to,Ship
Transportation,has article related to,Ship
the Transportation  Department,has article related to,Ship
Foreign Agricultural  Service,has article related to,Ship
the Frota Nacional de Petroleiros,has article related to,Ship
Syndarma,has article related to,Ship
Canal Commission,has article related to,Ship
the  Commissions,has article related to,Ship
Gaillard,has article related to,Ship
U.S. Navy,has article related to,Ship
the United  States,has article related to,Ship
Ocean Battle Group,has article related to,Ship
the U.S. Mideast Task Force,has article related to,Ship
State Department,has article related to,Ship
the Finnish Board of Navigation,has article related to,Ship
the U.S. Agriculture Department,has article related to,Ship
the Commodity Credit Corporations,has article related to,Ship
CCC,has article related to,Ship
CIF,has article related to,Ship
Foreign  Ministry,has article related to,Ship
The U.S. State Department,has article related to,Ship
the National  Iranian Tanker Co.,has article related to,Ship
Waterside Federation,has article related to,Ship
Harbour Workers,has article related to,Ship
Wilson,has article related to,Ship
Nord  Pacific,has article related to,Ship
Seafarers  International Union,has article related to,Ship
Gralewicz  ,has article related to,Ship
Gulf,has article related to,Ship
Silkworms,has article related to,Ship
U.S. Concern,has article related to,Ship
U.S. State Department,has article related to,Ship
the British Broadcasting Corp,has article related to,Ship
Trave  Ore,has article related to,Ship
The Trave Ore,has article related to,Ship
National Association,has article related to,Ship
Higher Education Teachers,has article related to,Ship
the Liberal Front Party,has article related to,Ship
PFL,has article related to,Ship
the Education Ministry,has article related to,Ship
New  Zealand,has article related to,Ship
Wellington Harbour Board Workers Union,has article related to,Ship
Marlborough  Harbour Board,has article related to,Ship
The Waterside Workers Federation,has article related to,Ship
the  Waterfront Employers Association,has article related to,Ship
the  Welland Canal,has article related to,Ship
U.S. Army Corps of Engineers,has article related to,Ship